ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
rno04724,Glutamatergic synapse,16/506,114/9007,6.001060910820297e-4,0.008010111737486222,0.005657750790063988,24654/29547/79218/65040/24416/24410/25031/170567/24418/29716/24398/60590/116590/29628/29642/24414,16
rno04024,cAMP signaling pathway,25/506,221/9007,6.306220563575656e-4,0.00806670713757386,0.005697725596914846,24242/24244/50663/24176/24225/24323/25493/24410/116554/24604/63885/29358/117273/29716/29431/140586/29693/25324/24925/171337/116590/29628/25537/295378/365355,25
rno04630,JAK-STAT signaling pathway,20/506,161/9007,6.695175024287986e-4,0.008221674929825645,0.005807183389487685,24684/116553/100361294/287287/298210/64033/25325/287659/300772/24498/85384/56718/25235/304091/24888/24628/24514/60430/25125/500616,20
rno05165,Human papillomavirus infection,35/506,353/9007,7.105148361141577e-4,0.0083895405648864,0.005925751264757752,100361294/361696/298210/84006/25385/360606/84352/64033/64566/287357/60445/29146/24881/290905/363984/362279/117535/361585/297797/445442/29577/85384/500261/56718/312451/24525/24205/362485/679028/117104/116590/306628/24708/299147/84353,35
rno04722,Neurotrophin signaling pathway,16/506,120/9007,0.0010585803231127323,0.012036450340578103,0.008501658735330325,314850/24242/24244/50663/25385/310738/116667/24225/25493/116554/117273/85384/24525/171337/116590/303604,16
rno04720,Long-term potentiation,11/506,67/9007,0.0011538252347638263,0.01265086953830338,0.00893563903614091,24242/24244/50663/24654/24410/25031/24418/24525/171337/116590/24414,11
rno04360,Axon guidance,21/506,181/9007,0.001215687313441076,0.012862556624022895,0.00908515914468958,310753/312213/362873/64566/301346/25273/315996/362279/316539/114523/117273/361400/314903/171287/361764/29431/24525/641521/116590/25537/81735,21
rno05202,Transcriptional misregulation in cancer,22/506,194/9007,0.001269648235513674,0.012862556624022895,0.00908515914468958,499497/311876/304947/311331/298894/64033/156435/25094/362489/353227/24498/297099/315291/100310845/314423/315606/24888/29628/24790/362831/114502/24484,22
rno04150,mTOR signaling pathway,19/506,158/9007,0.0013407225145561324,0.012862556624022895,0.00908515914468958,361696/312781/310131/64566/24954/287357/60445/24881/303206/100362347/297797/293561/310091/117273/85384/56718/295357/24525/116590,19
rno04934,Cushing syndrome,19/506,158/9007,0.0013407225145561324,0.012862556624022895,0.00908515914468958,304947/64566/24654/287357/100362634/24881/25031/81647/315606/312451/29716/24205/362485/171337/116590/24790/24708/294930/84353,19
rno05163,Human cytomegalovirus infection,26/506,248/9007,0.001533970202205211,0.0142705712750606,0.010079676607791818,24242/24244/50663/361696/298210/25385/24654/60445/79218/24498/25493/301088/25031/81647/117273/361400/85384/56718/304091/24525/116590/25537/24790/24708/25125/84353,26
rno04218,Cellular senescence,21/506,185/9007,0.0016037308864051208,0.01448074653312859,0.010228128873048139,24242/24244/50663/24493/116651/64033/60445/24498/679906/303200/361400/56718/29716/689523/24525/362485/29153/116590/24708/365355/24484,21
rno04657,IL-17 signaling pathway,13/506,92/9007,0.0017927045799608343,0.01572458017279932,0.011106681006674642,116553/287287/689890/24498/363984/25493/116554/300339/304150/308267/116590/683206/363854,13
rno04659,Th17 cell differentiation,14/506,104/9007,0.0019464288234041483,0.016598712466252045,0.011724103439217969,100361294/287287/300807/24498/25493/116554/361400/56718/85471/116590/24514/50554/25125/291100,14
rno04924,Renin secretion,11/506,72/9007,0.0021066244971788503,0.017072241761405267,0.012058569528028407,25645/24242/24244/50663/24176/24654/24323/25031/29716/81742/24925,11
rno04261,Adrenergic signaling in cardiomyocytes,18/506,152/9007,0.0021131765046690557,0.017072241761405267,0.012058569528028407,24242/24244/50663/24176/24654/25031/81647/29716/58942/140447/29693/25399/117104/24925/116590/25665/315611/299147,18
rno05207,Chemical carcinogenesis - receptor activation,24/506,228/9007,0.0021744594541571382,0.017116898780160036,0.01209011194484131,25645/25154/361696/24176/29146/24881/363984/311332/116499/81647/84010/361055/85384/114125/56718/25149/29716/24525/24925/116590/361959/24514/24708/25125,24
rno04935,"Growth hormone synthesis, secretion and action",15/506,117/9007,0.0022310477814046978,0.017123291722281057,0.01209462744656231,116667/24654/116554/25031/81647/303200/85384/56718/25235/29716/24525/116590/24514/25125/24484,15
rno05225,Hepatocellular carcinoma,20/506,179/9007,0.002477807835086509,0.01855334159442825,0.01310470896091966,361696/312781/64566/287357/24881/282546/85384/301020/361825/56718/312451/24525/24888/24205/116590/24483/24708/50554/84353/361745,20
rno04917,Prolactin signaling pathway,11/506,75/9007,0.002933902518090563,0.020946699373344254,0.014795199968828788,24684/64033/287659/116554/85384/25149/24525/116590/24514/25125/500616,11
rno05212,Pancreatic cancer,11/506,75/9007,0.002933902518090563,0.020946699373344254,0.014795199968828788,361696/116554/29622/56718/24525/24888/116546/116590/24708/50554/25125,11
rno05231,Choline metabolism in cancer,13/506,98/9007,0.003175694193122374,0.02215768448383111,0.015650550329741844,361696/60445/116554/192270/29622/85384/56718/286936/24525/362219/116590/24628/24790,13
rno04022,cGMP-PKG signaling pathway,19/506,171/9007,0.0033469286517261772,0.022445119218874023,0.015853572978186348,499497/25645/24242/24244/50663/24176/24654/24954/353256/25031/81647/117273/361400/29716/140447/29693/24925/116590/25537,19
rno04068,FoxO signaling pathway,16/506,134/9007,0.003363112325955065,0.022445119218874023,0.015853572978186348,25385/64033/24954/25325/497961/29547/24498/116554/85384/171043/24525/116590/24414/50554/25125/311622,16
rno05235,PD-L1 expression and PD-1 checkpoint pathway in cancer,12/506,89/9007,0.0039418121622537845,0.02574758157046621,0.01818618825138364,361696/29434/25493/303200/361400/56718/24525/116590/116549/24514/303604/25125,12
rno04371,Apelin signaling pathway,16/506,137/9007,0.0041942717473610275,0.026061741668720006,0.018408087720748575,499497/24242/24244/50663/361696/24654/29146/79218/25031/56718/140447/24525/116590/83516/365355/50554,16
rno04625,C-type lectin receptor signaling pathway,14/506,113/9007,0.004232324448284465,0.026061741668720006,0.018408087720748575,24242/24244/50663/25325/24498/363984/25493/116554/117273/361400/29431/24525/116590/365355,14
rno04152,AMPK signaling pathway,15/506,125/9007,0.004244583333667754,0.026061741668720006,0.018408087720748575,24638/361696/25675/24954/60445/117276/79434/56718/117104/65158/25435/312670/363854/83516/299147,15
rno05221,Acute myeloid leukemia,10/506,68/9007,0.004394823471340248,0.026455113837283453,0.018685936740889395,361696/362489/353227/85384/56718/312451/24525/116590/64030/25125,10
rno05167,Kaposi sarcoma-associated herpesvirus infection,22/506,216/9007,0.0048661344360029736,0.028250333453340513,0.019953947167454637,100361294/24242/24244/50663/298210/79218/24498/363984/25493/116554/301088/64357/361400/56718/312451/24525/116590/24628/24514/24708/25125/84353,22
rno01521,EGFR tyrosine kinase inhibitor resistance,11/506,80/9007,0.004877093397482238,0.028250333453340513,0.019953947167454637,361696/24498/85384/56718/24525/24888/116590/24628/24514/25125/24592,11
rno04660,T cell receptor signaling pathway,13/506,104/9007,0.005324920171651201,0.030273157272165164,0.021382720377390786,287287/29434/25325/25493/116554/117273/361400/85384/29431/24525/116590/295378/63835,13
rno04520,Adherens junction,10/506,72/9007,0.006636381421293401,0.037043074478855895,0.026164489431319438,24954/497961/116490/117273/312451/116590/116549/50554/84353/361084,10
rno05162,Measles,16/506,144/9007,0.006798813683532814,0.03727206787222453,0.026326233436236083,100361294/298210/24493/25385/64033/24498/363984/25493/116554/24888/362485/308267/116549/78963/683206/25125,16
rno04915,Estrogen signaling pathway,15/506,135/9007,0.008625121902548053,0.04645460393126759,0.032812098096489356,25154/24242/24244/50663/24654/84584/25031/81647/85384/25149/24525/116590/24790/313929/24414,15
rno04512,ECM-receptor interaction,11/506,87/9007,0.00916916887243641,0.048158017642208,0.03401526361836052,360606/84352/289486/290905/445442/691992/25312/306628/310418/117556/25406,11
rno05215,Prostate cancer,12/506,99/9007,0.009255123911694696,0.048158017642208,0.03401526361836052,311331/156435/25493/85384/56718/312451/24525/362485/116590/24628/24708/84353,12
rno05226,Gastric cancer,16/506,151/9007,0.01057333973049337,0.05410025495435774,0.03821242078037955,361696/312781/64566/287357/24881/116499/85384/56718/312451/24525/24205/362485/116590/24708/50554/84353,16
rno04664,Fc epsilon RI signaling pathway,9/506,66/9007,0.011008560369636024,0.05437724405309429,0.0384080654035228,116553/287287/84477/116554/303200/85384/24525/116590/295378,9
rno05022,Pathways of neurodegeneration - multiple diseases,39/506,477/9007,0.011151540000733642,0.05437724405309429,0.0384080654035228,24242/24244/50663/312781/24493/25385/192154/64566/24654/287357/24225/24498/24881/24410/303206/116554/311024/25031/25049/24418/303200/685664/56718/294331/29716/24525/24888/24205/29693/29153/116590/29628/116549/78963/54226/29219/24414/312927/84353,39
rno04910,Insulin signaling pathway,15/506,139/9007,0.011158848128159416,0.05437724405309429,0.0384080654035228,24242/24244/50663/361696/84006/24954/60445/116554/85384/56718/25059/24525/116590/83516/365382,15
rno04926,Relaxin signaling pathway,14/506,128/9007,0.012486282008288033,0.05912355868732661,0.04176051119351716,84352/24654/79218/24323/290905/25493/116554/25031/81647/300339/85384/24525/116590/306628,14
rno04530,Tight junction,17/506,167/9007,0.012518017311648956,0.05912355868732661,0.04176051119351716,81732/84006/116667/266688/291553/362279/116554/315655/117273/65157/500261/29716/117104/302495/300289/25537/65132,17
rno05160,Hepatitis C,16/506,158/9007,0.015840633041655103,0.07278695294103349,0.051411322838514996,100361294/298210/25385/300772/363984/25493/85384/294090/24525/117104/116590/78963/65132/24708/25125/84353,16
rno04137,Mitophagy - animal,9/506,70/9007,0.015885100478987765,0.07278695294103349,0.051411322838514996,366896/25094/116554/24525/24888/303351/116549/24790/365355,9
rno04930,Type II diabetes mellitus,7/506,49/9007,0.018725110961643043,0.08453836860624138,0.05971165415013107,24954/54234/116554/56718/29716/25059/116590,7
rno05135,Yersinia infection,14/506,135/9007,0.019187067690882673,0.08536854755218813,0.060298031187213275,81732/25325/24498/25493/116554/117273/303200/361400/308267/207122/116590/25537/79121/295378,14
rno05321,Inflammatory bowel disease,8/506,61/9007,0.02004661299558198,0.08791871699490955,0.06209928236225395,116553/287287/24493/25325/300807/24498/85471/25125,8
rno05133,Pertussis,9/506,73/9007,0.0204664168113802,0.08849563325484115,0.06250677336018266,24242/24244/50663/24493/25325/24498/116554/117273/116590,9
rno05152,Tuberculosis,17/506,177/9007,0.021156374706648957,0.09020843104085043,0.063716567098972,24242/24244/50663/298210/24493/25325/24498/314764/116554/297797/25336/117273/304091/116590/78963/24944/24514,17
rno04919,Thyroid hormone signaling pathway,13/506,124/9007,0.021684695681498785,0.0908152145581627,0.0641451541196006,24654/84584/24831/317343/679693/25031/360817/56718/24525/29693/116590/313929/84353,13
rno05214,Glioma,9/506,74/9007,0.022186019242065532,0.0908152145581627,0.0641451541196006,24242/24244/50663/85384/56718/24525/116590/24628/24708,9
rno04723,Retrograde endocannabinoid signaling,15/506,151/9007,0.02235536077893765,0.0908152145581627,0.0641451541196006,29254/309207/24654/79218/116554/25031/140674/24418/29716/25248/116590/29628/29707/24414/29708,15
rno05170,Human immunodeficiency virus 1 infection,21/506,234/9007,0.022481942366190114,0.0908152145581627,0.0641451541196006,24242/24244/50663/361696/298210/25385/360785/300948/79218/25493/367304/116554/315987/303200/361400/56718/29431/24525/24888/308267/116590,21
rno04540,Gap junction,10/506,87/9007,0.02350840784443583,0.09372832737976362,0.06620276166717402,24654/25031/24418/85384/171492/24525/24925/116590/24628/24414,10
rno00310,Lysine degradation,8/506,63/9007,0.023929586706065778,0.09418439895848967,0.06652489691564845,312299/171142/311968/306764/100362634/315606/299201/362831,8
rno04621,NOD-like receptor signaling pathway,17/506,181/9007,0.025667791918375257,0.099746988847357,0.07045389920300202,100361294/298210/24654/24498/363984/362393/25493/679906/116554/25031/117273/24888/308267/207122/116590/683206/316794,17
rno04020,Calcium signaling pathway,21/506,238/9007,0.026520785741111174,0.10177351528151413,0.07188528766669607,25645/24242/24244/50663/24176/310738/24654/54234/116499/25031/25505/24418/29716/81742/140447/29693/25324/24611/24925/24628/24414,21
rno04062,Chemokine signaling pathway,17/506,182/9007,0.026901139494407592,0.10195863981213742,0.07201604594994104,24654/287673/79218/25493/301088/25031/117273/59075/85384/29431/24525/171337/116590/25537/295378/24514/25125,17
rno04921,Oxytocin signaling pathway,15/506,155/9007,0.02752886558875225,0.10306538702130416,0.07279777036306756,499497/24242/24244/50663/24654/25031/117273/361400/29716/58942/24525/25399/116590/25537/25435,15
rno04211,Longevity regulating pathway,10/506,90/9007,0.028989770307288915,0.10612421271927895,0.07495829871480014,361696/24954/60445/81647/56718/24525/290537/312670/83516/312927,10
rno03013,Nucleocytoplasmic transport,12/506,116/9007,0.02932070256611321,0.10612421271927895,0.07495829871480014,361070/690693/360886/292022/361055/292085/311182/361959/78973/315352/59303/368070,12
rno04974,Protein digestion and absorption,11/506,103/9007,0.0293829253457287,0.10612421271927895,0.07495829871480014,499431/25654/84352/298101/290905/499723/314981/85250/140447/306628/29642,11
rno04727,GABAergic synapse,10/506,91/9007,0.03100322286678989,0.11067429558261042,0.07817214088811159,79218/140674/170567/79212/29716/24398/29707/29642/29708/171086,10
rno04390,Hippo signaling pathway,15/506,158/9007,0.031956010025854395,0.11252011923024456,0.07947589426171911,364952/84006/64033/64566/25261/287357/24881/362279/312451/24205/117104/300289/50554/81507/84353,15
rno05010,Alzheimer disease,31/506,391/9007,0.032253324079027756,0.11252011923024456,0.07947589426171911,24242/24244/50663/312781/24493/64566/24654/24954/287357/24498/24881/363229/24410/303206/116554/311024/25031/24418/56718/29716/24525/24205/29693/29153/116590/116549/78963/54226/29219/312927/84353,31
rno04928,"Parathyroid hormone synthesis, secretion and action",11/506,105/9007,0.03323601980659965,0.11464559641152912,0.08097717421832674,499497/312781/24654/25031/81647/117273/85471/116590/54278/24790/84395,11
rno05031,Amphetamine addiction,8/506,68/9007,0.03587802650105515,0.12238393484248812,0.08644296443529076,24242/24244/50663/24410/81647/25549/29716/29628,8
rno04114,Oocyte meiosis,12/506,120/9007,0.036809164330814555,0.12418036757758316,0.08771183171946556,25154/24242/24244/50663/360949/315034/293056/54308/362485/116590/299147/315330,12
rno04142,Lysosome,13/506,134/9007,0.03780516520252594,0.12615419257799418,0.08910599578627396,362865/360785/63886/298875/25697/299825/367304/297797/83689/24944/287478/361401/25151,13
rno04923,Regulation of lipolysis in adipocytes,7/506,57/9007,0.0393677738057483,0.12951557209327944,0.09148022578849842,25645/29254/24176/24954/24604/29358/24925,7
rno04710,Circadian rhythm,5/506,34/9007,0.0396562338005481,0.12951557209327944,0.09148022578849842,300807/299691/170917/60447/29657,5
rno04140,Autophagy - animal,14/506,149/9007,0.040288037062481484,0.13019397240191385,0.09195939761630123,361696/312634/25697/60445/252853/303206/116554/56718/24525/24888/116590/24944/365355/312927,14
rno00534,Glycosaminoglycan biosynthesis - heparan sulfate / heparin,4/506,24/9007,0.04275914014251846,0.1367401669140955,0.09658314549735529,114002/293722/295430/302489,4
rno05418,Fluid shear stress and atherosclerosis,14/506,151/9007,0.044288021912602435,0.14016930646565925,0.09900523618009877,499497/29263/24242/24244/50663/24493/25697/24323/79558/116554/117273/24628/81507/84353,14
rno04071,Sphingolipid signaling pathway,12/506,124/9007,0.045559405755601995,0.14272181190785524,0.10080813733248133,499174/24654/84477/116554/25031/117273/313339/24525/117104/116590/25537/299147,12
rno05145,Toxoplasmosis,11/506,111/9007,0.046914915183506545,0.14548362587208596,0.10275887855185908,100361294/25325/25493/116554/303200/304091/24888/308267/116590/24514/25125,11
rno04713,Circadian entrainment,10/506,98/9007,0.04790990436127113,0.14570320299106185,0.10291397159663548,24242/24244/50663/24654/79218/24410/25031/29716/116590/29628,10
rno04920,Adipocytokine signaling pathway,8/506,72/9007,0.047934929974258134,0.14570320299106185,0.10291397159663548,25493/116554/24604/56718/312670/24514/83516/25125,8
rno04611,Platelet activation,12/506,126/9007,0.05043316337648433,0.1504344837844748,0.1062557985928401,84006/29434/84352/24654/25031/25505/117273/691992/171337/116590/25537/64630,12
rno04141,Protein processing in endoplasmic reticulum,15/506,168/9007,0.05047150433159904,0.1504344837844748,0.1062557985928401,361712/407784/171129/294862/116554/289085/294331/84026/100360412/29153/58817/302705/685144/295319/313648,15
rno04115,p53 signaling pathway,8/506,73/9007,0.051315670055843206,0.15147991064561409,0.10699421084517916,293625/64033/362720/445442/24888/362485/78963/24484,8
rno04668,TNF signaling pathway,11/506,113/9007,0.05222000181448899,0.15268133863855352,0.10784281076475923,29146/24498/24323/25493/116554/81647/303200/308267/116590/683206/311567,11
rno03015,mRNA surveillance pathway,10/506,100/9007,0.05369504245548429,0.15551300031918563,0.10984288724756466,305586/311166/690693/292022/309338/295010/117104/299147/315352/368070,10
rno05217,Basal cell carcinoma,7/506,62/9007,0.05781778005492201,0.1658883969800099,0.11717130045562157,64566/287357/25273/24881/312451/24205/84353,7
rno04510,Focal adhesion,17/506,202/9007,0.061860523618364895,0.17584426621146318,0.1242033905008106,360606/84352/64033/360468/290905/116554/445442/117273/85384/29431/171337/116590/24628/306628/25537/295378/84353,17
rno05412,Arrhythmogenic right ventricular cardiomyopathy,8/506,77/9007,0.06635237726417136,0.1842185959072516,0.13011839793208924,360606/312451/29716/58942/140447/29693/25399/84353,8
rno04922,Glucagon signaling pathway,10/506,104/9007,0.06660672360164471,0.1842185959072516,0.13011839793208924,360993/24638/24242/24244/50663/24654/25031/81647/314388/83516,10
rno05142,Chagas disease,10/506,104/9007,0.06660672360164471,0.1842185959072516,0.13011839793208924,25385/24654/25325/24498/25493/116554/25031/117104/24611/116590,10
rno05220,Chronic myeloid leukemia,8/506,78/9007,0.07049505900028927,0.1926076234989842,0.13604378687053226,84477/25493/85384/24525/24888/116590/24708/50554,8
rno05033,Nicotine addiction,5/506,40/9007,0.07152204911688663,0.1926076234989842,0.13604378687053226,24410/140674/29628/29707/29708,5
rno05143,African trypanosomiasis,5/506,40/9007,0.07152204911688663,0.1926076234989842,0.13604378687053226,25385/24654/25325/24498/25031,5
rno05222,Small cell lung cancer,9/506,92/9007,0.07273430633275246,0.19416897429700006,0.13714660965260417,360606/498709/290905/25493/24888/362485/306628/78963/24708,9
rno04936,Alcoholic liver disease,12/506,135/9007,0.07672190221431865,0.2030484825844468,0.14341843789609474,298210/25385/24498/363984/25493/116554/303200/312451/308267/312670/83516/84353,12
rno05219,Bladder cancer,5/506,41/9007,0.0778833278084083,0.2043605268135158,0.1443451689476573,445442/300339/24525/116590/24708,5
rno04210,Apoptosis,12/506,136/9007,0.08009703687183815,0.2083880535563925,0.1471899161070353,293625/25385/310738/25697/25493/116554/24525/24888/29153/116590/78963/60430,12
rno04970,Salivary secretion,8/506,81/9007,0.08385121817161698,0.2163220502410623,0.152793904850536,25645/24242/24244/50663/24176/24654/25031/24925,8
rno04927,Cortisol synthesis and secretion,7/506,68/9007,0.08600789777961441,0.22003687181951354,0.1554177801982506,304947/24654/25031/81647/29716/24790/294930,7
rno04931,Insulin resistance,10/506,110/9007,0.08941863891812135,0.2253800130184989,0.15919178015364568,361696/360518/24954/24498/25493/116554/56718/291567/83516/25125,10
rno04925,Aldosterone synthesis and secretion,9/506,96/9007,0.08956469572722106,0.2253800130184989,0.15919178015364568,24242/24244/50663/309207/24654/25031/81647/29716/54278,9
rno04144,Endocytosis,21/506,274/9007,0.09085738863243578,0.2261693132403589,0.15974928348196102,306380/303337/81732/84006/308003/305367/361120/291553/314764/362279/311024/499508/79434/117273/59075/316611/79121/311567/25151/296380/685244,21
rno05230,Central carbon metabolism in cancer,7/506,69/9007,0.09135177472900491,0.2261693132403589,0.15974928348196102,56718/25059/24398/24525/116590/64030/361596,7
rno00564,Glycerophospholipid metabolism,9/506,98/9007,0.09877524622260771,0.24259200472272452,0.1713490587103763,679692/361527/289733/312828/192270/286936/362434/362219/361401,9
rno05140,Leishmaniasis,7/506,71/9007,0.10258448800372041,0.24994791918366796,0.17654473290531666,287287/24493/25325/25493/308267/116590/24514,7
rno04012,ErbB signaling pathway,8/506,85/9007,0.10381645214246762,0.25095788037588634,0.17725809483090202,361696/116554/304883/85384/56718/29431/24525/116590,8
rno05213,Endometrial cancer,6/506,59/9007,0.11221133753138304,0.2691318798604265,0.19009486456796798,85384/312451/24525/24205/116590/84353,6
rno04973,Carbohydrate digestion and absorption,5/506,46/9007,0.11399833006958526,0.27047084774175534,0.1910406124971767,29573/24654/25031/29716/25059,5
rno05223,Non-small cell lung cancer,7/506,73/9007,0.11453162933689964,0.27047084774175534,0.1910406124971767,311024/85384/24525/116590/24708/25125/311622,7
rno04714,Thermogenesis,18/506,237/9007,0.11822008554019427,0.27705012412854685,0.1956877269689033,314850/25645/29254/361696/60445/291406/81647/282546/303200/85384/301020/361825/56718/24525/25248/83516/312440/361745,18
rno00565,Ether lipid metabolism,5/506,47/9007,0.12204196457858682,0.2817058881626026,0.19897621450881586,83572/361527/289733/192270/303407,5
rno05030,Cocaine addiction,5/506,47/9007,0.12204196457858682,0.2817058881626026,0.19897621450881586,24225/24416/24410/81647/25549,5
rno05132,Salmonella infection,19/506,254/9007,0.12318598528965935,0.28222460808899563,0.19934259991885173,81732/361632/24498/25493/116554/311024/117273/303200/361055/312451/79249/29431/308267/116590/25537/79121/361959/308666/84353,19
rno04730,Long-term depression,6/506,61/9007,0.1262664647819745,0.2871392939856754,0.20281397072192395,24654/25031/24525/116590/29628/24414,6
rno04622,RIG-I-like receptor signaling pathway,6/506,62/9007,0.13360025243130155,0.3007243716155289,0.2124094652933275,298210/116667/363984/25493/116554/266764,6
rno05169,Epstein-Barr virus infection,17/506,226/9007,0.13419947528119694,0.3007243716155289,0.2124094652933275,100361294/298210/64033/24498/363984/25493/116554/29577/303200/362485/679028/308267/78963/683206/24708/25125/25406,17
rno05410,Hypertrophic cardiomyopathy,8/506,91/9007,0.1382520736683828,0.3075607725811125,0.2172381935597777,360606/24498/24323/29716/58942/140447/29693/25399,8
rno00250,"Alanine, aspartate and glutamate metabolism",4/506,36/9007,0.14128487657183708,0.31136885441288875,0.2199279410562492,291133/360518/83784/24398,4
