ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0007611,learning or memory,50/1145,345/18112,3.233003043466771e-8,1.7064377882152796e-5,1.3018638092735097e-5,499497/83572/81660/24176/29386/64865/360606/310738/25675/64033/24654/25446/58814/60445/24225/54234/300772/24410/679906/294318/60568/60391/361585/304883/25049/315606/24418/56718/29619/79212/25149/29716/289201/29431/680427/140447/24525/24925/25248/365963/54278/64030/192256/24483/54226/29707/287478/307916/24592/29335,50
GO:0003002,regionalization,53/1145,383/18112,6.029882302296024e-8,2.559771734863519e-5,1.952883489005147e-5,314850/499497/29263/304947/113984/312781/363111/64865/64566/100912525/310552/25273/353227/24881/24323/116490/304850/315996/679693/79558/500485/304495/116554/311332/297099/303491/29577/315606/84010/78974/501097/315952/499745/114125/29619/307724/312451/304063/680155/79249/116548/680427/24205/679028/299499/683470/363286/78973/50554/114502/81507/84353/313757,53
GO:0001667,ameboidal-type cell migration,60/1145,458/18112,6.09593681919355e-8,2.559771734863519e-5,1.952883489005147e-5,499497/83572/287287/113984/81732/312781/29386/361632/360606/361920/245921/64566/29681/301346/84477/501841/360468/25273/24323/315996/79558/500485/83823/311332/116499/312652/85489/445442/114514/192270/300339/117273/303200/65157/56718/680066/361764/306873/25694/29431/140586/83425/85471/290537/207122/24628/300289/25537/64030/64185/79121/24483/24790/312670/297480/301509/303604/114502/296072/24592,60
GO:0022037,metencephalon development,31/1145,168/18112,6.172374145382236e-8,2.559771734863519e-5,1.952883489005147e-5,312299/312781/79256/29386/245921/311166/301346/24954/117258/300807/25273/24881/64619/25327/60391/304883/303491/266729/81647/84010/307724/25149/289201/304554/29431/25665/683470/83516/83526/313929/311349,31
GO:0009952,anterior/posterior pattern specification,38/1145,233/18112,6.632060298632386e-8,2.5670494729239756e-5,1.9584357709926374e-5,314850/29263/304947/113984/312781/363111/64865/64566/100912525/310552/25273/353227/24881/304850/679693/500485/304495/297099/303491/29577/315606/84010/78974/499745/114125/29619/312451/304063/680155/79249/116548/24205/679028/50554/114502/81507/84353/313757,38
GO:0008344,adult locomotory behavior,24/1145,111/18112,8.710286852187471e-8,3.1607453414875284e-5,2.411374149605584e-5,311876/83572/362609/29386/310738/64033/60445/25569/316539/294318/304883/266729/25049/89828/304554/58942/84360/54278/117520/54226/29219/287478/290467/29710,24
GO:0098727,maintenance of cell number,31/1145,171/18112,9.395534034030753e-8,3.208851211857797e-5,2.4480747501672698e-5,303477/312299/313481/500562/299180/84584/29146/306548/317343/25273/686412/679693/304495/116554/116499/680201/29577/84010/312451/140586/24205/679028/305468/64030/363854/266813/683626/312440/25125/81507/313757,31
GO:0021549,cerebellum development,29/1145,154/18112,1.0346697116000164e-7,3.337384636416497e-5,2.5461345885455374e-5,312299/312781/79256/29386/245921/311166/301346/24954/117258/300807/25273/24881/64619/25327/60391/304883/266729/84010/307724/25149/289201/304554/29431/25665/683470/83516/83526/313929/311349,29
GO:0021543,pallium development,38/1145,239/18112,1.3121140483611687e-7,4.0095442972552345e-5,3.0589340252098606e-5,303477/499497/312299/83572/312781/29386/311462/245921/24654/24954/60445/300948/287659/288042/25273/307302/25696/170845/24410/64619/266729/24604/84394/117273/29619/289201/680427/317268/24888/361103/360459/116549/54278/310698/29642/313929/24592/84353,38
GO:0048638,regulation of developmental growth,54/1145,404/18112,1.4471292467280862e-7,4.2010162032516344e-5,3.20501045801673e-5,499497/24413/83572/25645/312213/29254/314930/81732/364952/24176/29386/310738/64566/24654/25595/301346/24954/24225/25273/24323/291553/315996/170845/303206/25716/314981/114523/84394/114514/84010/29358/171287/56718/25235/361764/50622/29152/29431/360921/317268/24205/679028/24925/116590/24483/54226/308666/297480/304514/83526/293847/25125/311622/81507,54
GO:1901214,regulation of neuron death,54/1145,406/18112,1.7027163767415555e-7,4.707605373029272e-5,3.591493991643342e-5,499497/116553/24413/499285/84006/25385/29386/310738/29491/64566/25325/60445/24225/25273/24498/299608/24881/64826/289733/24410/304495/116554/64357/24604/64152/81647/117273/64513/171287/56718/29619/25235/89828/25149/50622/24525/24888/85471/60590/54278/117520/54226/29707/24514/83516/29219/301285/81735/365355/60430/25125/365382/24592/84353,54
GO:0019827,stem cell population maintenance,30/1145,167/18112,1.8561914993267198e-7,4.898658111404971e-5,3.737250635964994e-5,303477/313481/500562/299180/84584/29146/306548/317343/25273/686412/679693/304495/116554/116499/680201/29577/84010/312451/140586/24205/679028/305468/64030/363854/266813/683626/312440/25125/81507/313757,30
GO:0021915,neural tube development,33/1145,196/18112,2.245324868526586e-7,5.667980950724069e-5,4.324177138105205e-5,312781/311331/64566/301346/60445/310552/362736/25273/500308/24881/58834/686412/679693/304495/304883/85489/29577/315952/307724/298555/292085/79428/171116/362051/25537/78963/683470/363286/311349/311622/114502/24592/313757,33
GO:0070997,neuron death,58/1145,454/18112,2.405689741626544e-7,5.819764433284881e-5,4.4399747512124986e-5,499497/116553/24413/499285/84006/25385/29386/310738/29491/64566/25325/60445/24831/24225/25273/24498/299608/24881/64826/289733/24410/304495/116554/85262/64357/24604/64152/81647/117273/64513/171287/56718/29619/25235/89828/25149/50622/24525/24888/85471/60590/54278/117520/78963/54226/29707/24514/83516/24708/29219/301285/81735/365355/60430/25125/365382/24592/84353,58
GO:0030522,intracellular receptor signaling pathway,39/1145,256/18112,2.839712700985812e-7,6.594948776769451e-5,5.03137307189402e-5,362125/298874/312299/24413/25154/113984/362609/690005/29681/84584/266604/24831/24225/313922/300807/100362634/360668/299691/25493/170917/361585/85489/117273/60447/25149/29431/291567/29657/282845/361103/362615/54278/683206/24514/297480/683626/312440/313929/25125,39
GO:0046928,regulation of neurotransmitter secretion,26/1145,136/18112,3.4355194147522305e-7,7.417779683924726e-5,5.6591215820213664e-5,499497/24242/24244/50663/24176/310738/81022/116647/83589/100188944/83823/25716/25505/29716/58976/58942/24888/29693/303351/25248/60590/171337/29219/117101/684516/24592,26
GO:0030326,embryonic limb morphogenesis,27/1145,145/18112,3.57729643730438e-7,7.417779683924726e-5,5.6591215820213664e-5,304947/312781/298894/64566/287357/289486/310552/353227/686412/29147/500863/116499/297099/85489/307724/299499/282635/310418/683470/363286/304514/266813/311349/50554/81507/84353/313757,27
GO:0035113,embryonic appendage morphogenesis,27/1145,145/18112,3.57729643730438e-7,7.417779683924726e-5,5.6591215820213664e-5,304947/312781/298894/64566/287357/289486/310552/353227/686412/29147/500863/116499/297099/85489/307724/299499/282635/310418/683470/363286/304514/266813/311349/50554/81507/84353/313757,27
GO:0007411,axon guidance,38/1145,250/18112,4.263854012455575e-7,8.268011977292644e-5,6.307774969713264e-5,499497/286994/312213/362873/307251/295475/64566/301346/24225/117258/25273/24323/315996/316539/305571/312652/311024/117242/114523/314423/171287/89828/361764/293667/289201/290447/680427/317268/289048/85471/116690/54226/308666/683470/297480/81735/50554/310960,38
GO:0006836,neurotransmitter transport,39/1145,260/18112,4.2721384657040877e-7,8.268011977292644e-5,6.307774969713264e-5,499497/24242/24244/50663/24176/310738/81802/81022/116647/83589/100188944/83823/25716/60391/25505/25549/79212/29716/58976/29431/58942/299156/24888/29693/303351/25248/60590/84573/171337/64630/117556/29219/613226/117101/282712/171086/684516/24592/50690,39
GO:0040013,negative regulation of locomotion,48/1145,354/18112,4.649592703358746e-7,8.573326416654737e-5,6.54070336698572e-5,499497/287287/113984/29386/302396/245921/64566/24654/301346/25094/29146/296374/501841/310552/78969/311362/58834/315996/313216/316539/311332/500915/64357/445442/114514/24418/117273/314903/361764/306096/116680/690538/85471/679028/302495/360459/25418/24628/312670/83516/304514/25125/296072/361596/361092/24592/81507/24484,48
GO:0097485,neuron projection guidance,38/1145,251/18112,4.7252229647425355e-7,8.573326416654737e-5,6.54070336698572e-5,499497/286994/312213/362873/307251/295475/64566/301346/24225/117258/25273/24323/315996/316539/305571/312652/311024/117242/114523/314423/171287/89828/361764/293667/289201/290447/680427/317268/289048/85471/116690/54226/308666/683470/297480/81735/50554/310960,38
GO:0007517,muscle organ development,48/1145,356/18112,5.49466802521503e-7,9.53647848778217e-5,7.275504736767298e-5,499497/114208/314930/113984/312781/24176/301676/25654/25675/64566/24225/59112/25273/24498/497078/79558/64619/311332/690286/25639/85489/366360/84010/117273/361400/58967/83689/29619/680066/29152/680712/29657/679028/362219/297748/114107/24483/282635/297480/24708/50554/114502/29710/361065/24592/81507/84353/313757,48
GO:0031345,negative regulation of cell projection organization,35/1145,223/18112,5.584572314581361e-7,9.53647848778217e-5,7.275504736767298e-5,310753/83572/303476/81732/360606/64566/116647/25261/25595/301346/60445/315996/24410/316539/303206/60391/361585/306141/114523/266729/29577/117273/171287/361764/288654/360921/679028/114107/25418/367171/79121/54226/301575/81735/171086,35
GO:0007626,locomotory behavior,39/1145,263/18112,5.76225487156431e-7,9.558757652657823e-5,7.292501804373721e-5,295649/311876/83572/29237/362609/365871/29386/310738/64033/60445/117258/83589/54234/25569/316539/294318/361585/304883/266729/25049/24418/29358/56718/89828/25549/289201/304554/58942/84360/54278/117520/54226/29219/287478/290467/24414/307829/29710/29335,39
GO:1901215,negative regulation of neuron death,39/1145,266/18112,7.726298205401826e-7,1.2400938347099363e-4,9.460838799172206e-5,499497/116553/499285/84006/29386/310738/29491/25325/60445/24225/25273/24498/299608/24881/64826/289733/304495/64357/24604/117273/29619/25235/89828/25149/50622/24525/24888/54278/117520/54226/29707/24514/83516/29219/301285/81735/25125/365382/84353,39
GO:0007409,axonogenesis,60/1145,493/18112,7.902768150924501e-7,1.2400938347099363e-4,9.460838799172206e-5,499497/286994/83572/312213/114208/29254/362873/307251/81732/295475/310738/64566/25595/301346/24225/117258/288042/25273/24323/497078/315996/170845/316539/303206/305571/312652/292732/311024/117242/114523/266729/84394/314423/114514/299061/171287/89828/361764/293667/289201/290447/29431/360921/680427/317268/24205/289048/362700/85471/54278/116690/54226/308666/683470/297480/290467/81735/171086/50554/310960,60
GO:0001702,gastrulation with mouth forming second,12/1145,35/18112,8.235257519353393e-7,1.258260662035942e-4,9.599435911755979e-5,314850/29263/312781/64566/306764/304850/79558/192270/304063/300289/50554/84353,12
GO:0001503,ossification,55/1145,438/18112,8.542287425744559e-7,1.2717056613813566e-4,9.702009578281542e-5,499497/286994/29263/29237/304947/312781/24176/363111/499431/25654/84352/64566/25261/25172/24831/29146/313922/310552/25273/353227/170842/24498/116490/79558/500485/116554/294925/301088/500863/294809/85489/85250/298744/117273/680712/314280/291567/140586/24205/25312/679028/315159/114107/116590/361391/24483/24790/303745/50554/24592/81507/84353/313757/24484/294408,55
GO:0060485,mesenchyme development,42/1145,299/18112,9.430999393937277e-7,1.339669182778216e-4,1.0220512212648861e-4,499497/312299/312781/64566/301346/29146/501841/310552/59112/25273/24498/24323/116490/315996/79558/500485/316539/303946/85489/306141/445442/114514/29577/114125/56718/361764/25694/680155/680712/292085/140586/85471/679028/116590/312478/25537/304514/50554/114502/296072/81507/84353,42
GO:0051588,regulation of neurotransmitter transport,27/1145,152/18112,9.460288751964666e-7,1.339669182778216e-4,1.0220512212648861e-4,499497/24242/24244/50663/24176/310738/81022/116647/83589/100188944/83823/25716/25505/25549/29716/58976/58942/24888/29693/303351/25248/60590/171337/29219/117101/684516/24592,27
GO:0098917,retrograde trans-synaptic signaling,8/1145,15/18112,1.0740709511490958e-6,1.4742202609384814e-4,1.1247020066408852e-4,309207/116647/24654/24225/117242/25248/363058/306183,8
GO:0009798,axis specification,21/1145,101/18112,1.0918269242224371e-6,1.4742202609384814e-4,1.1247020066408852e-4,314850/312781/363111/64566/25273/24881/304850/500485/84010/78974/501097/499745/312451/304063/680155/24205/78973/50554/81507/84353/313757,21
GO:0051101,regulation of DNA binding,24/1145,127/18112,1.1960249222992638e-6,1.578209249743074e-4,1.2040365724964837e-4,24242/24244/50663/310738/293294/25261/25172/362489/306764/59112/25273/116554/85489/29577/501097/295357/85471/361196/24514/24708/362831/291100/84353/313757,24
GO:0007269,neurotransmitter secretion,32/1145,202/18112,1.3713669688708923e-6,1.730903613318348e-4,1.3205291086976467e-4,499497/24242/24244/50663/24176/310738/81802/81022/116647/83589/100188944/83823/25716/60391/25505/29716/58976/29431/58942/299156/24888/29693/303351/25248/60590/84573/171337/64630/29219/117101/684516/24592,32
GO:0099643,signal release from synapse,32/1145,202/18112,1.3713669688708923e-6,1.730903613318348e-4,1.3205291086976467e-4,499497/24242/24244/50663/24176/310738/81802/81022/116647/83589/100188944/83823/25716/60391/25505/29716/58976/29431/58942/299156/24888/29693/303351/25248/60590/84573/171337/64630/29219/117101/684516/24592,32
GO:0001838,embryonic epithelial tube formation,27/1145,155/18112,1.404661602496127e-6,1.7352053753388327e-4,1.3238109794633154e-4,312781/311331/64566/301346/60445/310552/59112/362736/500308/58834/686412/679693/304495/304883/85489/298555/140586/85471/79428/171116/362051/25537/78963/311622/114502/84353/313757,27
GO:0007389,pattern specification process,59/1145,491/18112,1.4818306199856882e-6,1.7572613531301843e-4,1.3406377747107016e-4,314850/499497/29263/304947/113984/312781/363111/64865/64566/361514/100912525/310552/59112/25273/353227/24881/24323/116490/304850/315996/679693/79558/363126/500485/304495/116554/311332/297099/303491/29577/315606/84010/78974/501097/315952/499745/114125/29619/307724/298555/364899/312451/304063/680155/79249/116548/680427/24205/679028/299499/683470/363286/78973/304514/50554/114502/81507/84353/313757,59
GO:0050767,regulation of neurogenesis,56/1145,457/18112,1.4830486790110062e-6,1.7572613531301843e-4,1.3406377747107016e-4,312299/83572/312213/114208/362873/81732/311331/84006/297804/298894/29386/500562/310738/64566/25261/25595/301346/24225/306548/25273/24498/315996/170845/316539/25167/303206/116554/311332/312652/292732/114523/266729/84394/25049/29577/84010/24418/114125/309095/171287/56718/499022/361764/29431/360921/29657/171116/25435/64030/308666/171086/361596/24592/81507/84353/313757,56
GO:2000146,negative regulation of cell motility,43/1145,318/18112,1.9628283827413435e-6,2.2444931898655808e-4,1.7123533446261334e-4,499497/287287/113984/29386/302396/245921/24654/25094/29146/296374/501841/310552/78969/311362/58834/313216/316539/311332/500915/64357/445442/114514/117273/314903/306096/116680/690538/85471/679028/302495/360459/25418/24628/312670/83516/304514/25125/296072/361596/361092/24592/81507/24484,43
GO:0071559,response to transforming growth factor beta,39/1145,276/18112,1.971566529161981e-6,2.2444931898655808e-4,1.7123533446261334e-4,499497/307376/24413/287287/114208/29237/81732/360606/84352/116667/245921/64566/25261/497961/24881/24323/79558/83823/25639/306141/445442/102553587/680066/29152/293135/680712/140586/365894/361103/290537/306628/25537/78963/83516/307829/50554/25125/296072/313757,39
GO:0042063,gliogenesis,49/1145,385/18112,2.2895253569635245e-6,2.5262501762751634e-4,1.9273094515230866e-4,312299/83572/29237/81732/312781/311331/84006/362981/297804/298894/29386/500562/689890/307855/287659/117258/25273/24498/679693/316539/25167/289026/304883/266729/84394/25049/192270/29577/84010/117273/59075/114125/309095/56718/499022/64521/140586/24525/361103/360459/116590/24628/54226/25125/114502/361596/24592/84353/313757,49
GO:0007612,learning,31/1145,197/18112,2.3060843841299284e-6,2.5262501762751634e-4,1.9273094515230866e-4,24176/29386/25675/24654/25446/60445/24225/54234/300772/24410/60568/60391/361585/304883/25049/315606/24418/56718/29619/79212/29431/680427/140447/24525/64030/54226/29707/287478/307916/24592/29335,31
GO:0071560,cellular response to transforming growth factor beta stimulus,38/1145,268/18112,2.4443648855205804e-6,2.628144912098609e-4,2.0050462842632755e-4,499497/307376/24413/287287/114208/29237/81732/360606/84352/116667/245921/64566/25261/497961/24881/24323/79558/83823/25639/306141/445442/102553587/680066/29152/293135/680712/140586/365894/361103/290537/306628/25537/78963/83516/50554/25125/296072/313757,38
GO:0048762,mesenchymal cell differentiation,35/1145,239/18112,2.8870560699318434e-6,3.0476813712771426e-4,2.3251161612006124e-4,499497/312299/312781/64566/301346/29146/501841/310552/25273/24498/24323/116490/315996/79558/316539/303946/85489/306141/114514/29577/56718/361764/25694/680155/140586/85471/679028/116590/312478/25537/50554/114502/296072/81507/84353,35
GO:0030336,negative regulation of cell migration,41/1145,302/18112,3.052366805977611e-6,3.164650299197502e-4,2.4143532931492081e-4,499497/287287/113984/29386/302396/245921/24654/25094/29146/296374/501841/310552/78969/58834/313216/316539/311332/500915/64357/445442/114514/117273/314903/306096/116680/690538/679028/302495/360459/25418/24628/312670/83516/304514/25125/296072/361596/361092/24592/81507/24484,41
GO:0035136,forelimb morphogenesis,13/1145,46/18112,3.4458793232108383e-6,3.476534187693273e-4,2.6522936094808085e-4,307251/312781/287357/353227/246284/500863/297099/85489/364910/307724/304514/301285/84353,13
GO:0030534,adult behavior,30/1145,191/18112,3.4729414896005826e-6,3.476534187693273e-4,2.6522936094808085e-4,311876/83572/362609/29386/310738/64033/60445/24225/29547/25569/316539/294318/60391/304883/266729/24604/25049/89828/304554/58942/84360/54278/117520/54226/29219/287478/290467/29710/306055/29335,30
GO:0008306,associative learning,23/1145,126/18112,3.678789019003287e-6,3.620177804124252e-4,2.761881211769105e-4,24176/29386/25675/25446/60445/24225/54234/300772/24410/304883/25049/315606/56718/29619/79212/680427/24525/64030/54226/29707/287478/24592/29335,23
GO:0051271,negative regulation of cellular component movement,43/1145,326/18112,3.7717906362999106e-6,3.64983607239288e-4,2.7845078943070214e-4,499497/287287/113984/29386/302396/245921/24654/25094/29146/296374/501841/310552/78969/311362/58834/313216/316539/311332/500915/64357/445442/114514/117273/314903/306096/116680/690538/85471/679028/302495/360459/25418/24628/312670/83516/304514/25125/296072/361596/361092/24592/81507/24484,43
GO:0051098,regulation of binding,50/1145,404/18112,4.0515826400660965e-6,3.856309640692419e-4,2.94202929238967e-4,24242/24244/50663/368042/81732/24176/29386/310738/293294/64566/301709/25261/25595/25325/25172/362489/24225/306764/59112/25273/363126/316539/116554/304883/312652/25639/85489/29577/501097/192361/295357/29693/85471/116546/361196/24628/54226/24514/78973/24708/311349/301173/50554/362831/310960/311622/291100/84353/313757/64709,50
GO:0014020,primary neural tube formation,22/1145,118/18112,4.152455773842219e-6,3.882373657412427e-4,2.9619138731967824e-4,312781/311331/64566/301346/60445/310552/362736/500308/58834/686412/679693/304495/304883/85489/298555/79428/171116/362051/25537/78963/114502/313757,22
GO:0003170,heart valve development,15/1145,61/18112,4.212703072975937e-6,3.882373657412427e-4,2.9619138731967824e-4,499497/29146/362736/79558/85489/56718/680712/140586/85471/679028/25537/304514/24708/50554/81507,15
GO:0016331,morphogenesis of embryonic epithelium,29/1145,185/18112,5.230496679282365e-6,4.74504120623647e-4,3.620054280661216e-4,312781/311331/64865/64566/301346/60445/310552/59112/362736/500308/58834/686412/679693/304495/29147/304883/85489/298555/140586/85471/79428/171116/362051/25537/78963/311622/114502/84353/313757,29
GO:0001843,neural tube closure,21/1145,111/18112,5.369833323181836e-6,4.793696081883e-4,3.657173724561464e-4,312781/311331/64566/301346/60445/310552/362736/500308/58834/686412/679693/304495/304883/85489/298555/171116/362051/25537/78963/114502/313757,21
GO:0061053,somite development,19/1145,94/18112,5.449258377614158e-6,4.793696081883e-4,3.657173724561464e-4,312781/363111/64865/64566/310552/25273/24881/679693/84010/499745/114125/680712/292085/79249/679028/312478/50554/114502/81507,19
GO:1904019,epithelial cell apoptotic process,23/1145,129/18112,5.555558011970417e-6,4.8142641518657075e-4,3.672865375392226e-4,116553/287287/25154/84006/25385/310738/25325/116554/29147/304883/445442/81647/78974/56718/24888/85471/312510/79121/683206/24514/83516/24708/311622,23
GO:0072175,epithelial tube formation,27/1145,167/18112,6.0781720684723915e-6,5.149760712529799e-4,3.9288201095645866e-4,312781/311331/64566/301346/60445/310552/59112/362736/500308/58834/686412/679693/304495/304883/85489/298555/140586/85471/79428/171116/362051/25537/78963/311622/114502/84353/313757,27
GO:0001763,morphogenesis of a branching structure,35/1145,247/18112,6.120108321814607e-6,5.149760712529799e-4,3.9288201095645866e-4,314850/286994/25154/304947/312781/311331/298894/499431/29386/64566/25325/84584/310552/25273/24498/24881/24323/290905/79558/311332/500863/312652/498819/306141/361400/499745/171287/29431/140586/24525/24628/50554/311622/25406/84353,35
GO:0060606,tube closure,21/1145,112/18112,6.221159996310563e-6,5.160007848368447e-4,3.9366377841315564e-4,312781/311331/64566/301346/60445/310552/362736/500308/58834/686412/679693/304495/304883/85489/298555/171116/362051/25537/78963/114502/313757,21
GO:0003007,heart morphogenesis,38/1145,279/18112,6.432568142042964e-6,5.260209948267809e-4,4.0130832826859597e-4,499497/314930/312781/25654/64566/24954/29146/313922/310552/59112/79218/25273/24323/116490/58834/79558/363126/311332/312652/25639/85489/100310845/445442/81647/29577/84010/29358/365652/56718/25694/140586/85471/679028/361103/304514/50554/81507/84353,38
GO:0001655,urogenital system development,52/1145,435/18112,7.157130345086171e-6,5.771430386606987e-4,4.4031000719477507e-4,314850/499497/24684/286994/304947/297804/360606/500562/25492/308523/64566/60445/289486/29146/24225/25273/353227/24881/290905/79558/363126/500485/316539/361585/297099/312652/498819/29577/84010/117273/301020/171287/307724/25149/25694/292085/140586/116548/24205/311182/85471/365468/24628/25454/78963/310418/363286/301285/50554/24592/25406/84353,52
GO:0051932,"synaptic transmission, GABAergic",15/1145,64/18112,7.965990143962096e-6,6.335690243266292e-4,0.00048335813303233605,312299/366014/116647/24225/140674/79212/29431/84360/24525/25248/29707/24414/301173/29708/24592,15
GO:0042692,muscle cell differentiation,52/1145,437/18112,8.155609037440793e-6,6.39884676640287e-4,4.881764271628856e-4,314850/499497/312299/24413/300474/287287/29386/308523/301346/58814/60445/24225/300807/25273/300772/361527/24881/24323/497078/79558/304135/314981/29577/366360/84010/361400/56718/300838/499022/29431/140586/58942/100362678/24525/29693/310674/679028/24925/24628/64030/24483/297480/304514/24708/81735/50554/361065/81507/84353/313757/361745/294408,52
GO:0001841,neural tube formation,23/1145,133/18112,9.40572229445034e-6,7.244634528089793e-4,5.527026867705252e-4,312781/311331/64566/301346/60445/310552/362736/500308/58834/686412/679693/304495/304883/85489/298555/79428/171116/362051/25537/78963/311622/114502/313757,23
GO:0003179,heart valve morphogenesis,13/1145,50/18112,9.483159216927735e-6,7.244634528089793e-4,5.527026867705252e-4,499497/29146/79558/85489/56718/680712/140586/85471/25537/304514/24708/50554/81507,13
GO:0060537,muscle tissue development,56/1145,487/18112,1.0305205903102359e-5,7.606551150974174e-4,5.803137814474923e-4,314850/499497/24413/114208/314930/113984/312781/24176/301676/25654/308523/25675/64566/60445/24225/59112/25273/24323/497078/79558/64619/311332/314981/690286/25639/85489/366360/84010/117273/361400/56718/29619/680066/29152/680712/29431/140586/29657/24205/679028/362219/24925/116590/24483/282635/83516/297480/304514/24708/301285/50554/361065/24592/81507/84353/313757,56
GO:0001505,regulation of neurotransmitter levels,37/1145,274/18112,1.0323197661669294e-5,7.606551150974174e-4,5.803137814474923e-4,499497/24242/24244/50663/24176/291133/310738/309207/81802/81022/116647/83589/100188944/83823/25716/60391/25505/25549/79212/29716/58976/29431/58942/299156/24888/29693/303351/25248/60590/84573/171337/64630/117556/29219/117101/684516/24592,37
GO:0051090,regulation of DNA-binding transcription factor activity,52/1145,441/18112,1.0551051512932023e-5,7.606551150974174e-4,5.803137814474923e-4,312299/313481/287287/304947/312781/499285/84006/295475/310738/293112/498392/293294/64566/25261/25325/84584/24225/59112/25273/24498/24881/24323/78969/363984/304850/25493/85489/64152/192270/301446/81647/29577/60447/361825/25149/29716/295357/291567/303088/24525/64030/302705/54226/683206/24514/83516/24708/25125/311567/365297/84353/305549,52
GO:0099541,trans-synaptic signaling by lipid,6/1145,10/18112,1.0611964230604687e-5,7.606551150974174e-4,5.803137814474923e-4,309207/24654/60391/24418/29431/25248,6
GO:0099542,trans-synaptic signaling by endocannabinoid,6/1145,10/18112,1.0611964230604687e-5,7.606551150974174e-4,5.803137814474923e-4,309207/24654/60391/24418/29431/25248,6
